作物名,都道府県名,区分,栽培難易度,理由
ミニトマト,北海道,宗谷地方,62,短い夏季で生育期間不足|低温による生育遅延|強風による生育障害
ミニトマト,北海道,上川・留萌地方,52,内陸性で寒暖差大きいが低温|夏季の日照時間長い|生育期間やや短い
ミニトマト,北海道,網走・北見・紋別地方,57,冷涼だが日照時間確保|濃霧による日照不足|短い栽培期間
ミニトマト,北海道,釧路・根室・十勝地方,59,冷涼で湿度高め|夏季の低温|生育期間の制約
ミニトマト,北海道,胆振・日高地方,47,比較的温暖で栽培可能|太平洋側の安定気候|適度な降水量
ミニトマト,北海道,石狩・空知・後志地方,42,札幌周辺で栽培条件良好|内陸性の温暖気候|長い日照時間
ミニトマト,北海道,渡島・檜山地方,37,本州に近い温暖気候|長い生育期間|安定した気象条件
ミニトマト,青森県,津軽,37,温暖で栽培に適する|適度な降水量|長い生育期間
ミニトマト,青森県,下北,42,海洋性で比較的温暖|風が強い地域|やや冷涼な夏季
ミニトマト,青森県,三八上北,35,太平洋側で日照良好|温暖な夏季|適度な湿度
ミニトマト,岩手県,内陸,32,内陸性で寒暖差良好|適度な気温と日照|安定した気候
ミニトマト,岩手県,沿岸北部,37,海洋性で安定|やや冷涼な夏季|適度な降水量
ミニトマト,岩手県,沿岸南部,29,栽培条件良好|太平洋側の温暖気候|適度な日照
ミニトマト,宮城県,東部,25,温暖で栽培に最適|太平洋側の安定気候|十分な日照時間
ミニトマト,宮城県,西部,27,内陸性で栽培条件良好|適度な寒暖差|温暖な夏季
ミニトマト,秋田県,沿岸,32,日本海側だが栽培良好|適度な湿度|温暖な夏季
ミニトマト,秋田県,内陸,29,内陸性で寒暖差良好|適度な気温|十分な日照
ミニトマト,山形県,村山,25,盆地で栽培に最適|適度な寒暖差|温暖な夏季
ミニトマト,山形県,置賜,22,温暖で栽培条件最良|盆地の安定気候|十分な日照時間
ミニトマト,山形県,庄内,27,日本海側だが栽培良好|適度な湿度|温暖な夏季
ミニトマト,山形県,最上,32,山間部だが栽培適する|適度な寒暖差|やや冷涼な夏季
ミニトマト,福島県,中通り,19,内陸性で栽培に最適|適度な寒暖差|温暖な夏季
ミニトマト,福島県,浜通り,22,太平洋側で栽培良好|温暖な気候|適度な日照
ミニトマト,福島県,会津,27,盆地で栽培条件良好|適度な寒暖差|温暖な夏季
ミニトマト,茨城県,北部,22,温暖で栽培に最適|適度な湿度|安定した気候
ミニトマト,茨城県,南部,25,温暖で栽培良好|太平洋側の安定気候|適度な降水量
ミニトマト,栃木県,北部,27,温暖で栽培に適する|内陸性の安定気候|適度な寒暖差
ミニトマト,栃木県,南部,29,やや暖かいが栽培良好|関東平野の安定気候|適度な日照
ミニトマト,群馬県,北部,32,山間部で適度な気温|適度な寒暖差|清涼な夏季
ミニトマト,群馬県,南部,35,内陸性で夏季やや暑い|関東平野の温暖気候|適度な降水量
ミニトマト,埼玉県,南部,42,都市部で夏季高温|ヒートアイランド現象|高温による生育障害
ミニトマト,埼玉県,北部,37,内陸性で夏季暑い|適度な寒暖差|温暖な夏季
ミニトマト,埼玉県,秩父地方,32,山間部で適度な気温|適度な湿度|清涼な気候
ミニトマト,千葉県,北東部,29,海洋性で栽培良好|適度な湿度|太平洋側の安定気候
ミニトマト,千葉県,北西部,35,都市部だが栽培可能|海洋性の温暖気候|適度な降水量
ミニトマト,千葉県,南部,32,温暖な海洋性気候|太平洋側の安定気候|適度な日照
ミニトマト,東京都,東京地方,47,都市部で夏季高温|ヒートアイランド現象|大気汚染の影響
ミニトマト,東京都,伊豆諸島北部,42,海洋性だが風が強い|島嶼部の特殊気候|塩害の影響
ミニトマト,東京都,伊豆諸島南部,47,温暖だが風が強い|高温多湿|強風の影響
ミニトマト,東京都,小笠原諸島,72,亜熱帯で高温多湿|年中高温|病害発生リスク高
ミニトマト,神奈川県,東部,39,都市部だが海洋性|適度な海洋性調節|都市化の影響
ミニトマト,神奈川県,西部,35,内陸性で栽培良好|山間部の適度な気温|適度な寒暖差
ミニトマト,新潟県,上越,32,日本海側で栽培良好|適度な湿度|温暖な夏季
ミニトマト,新潟県,中越,29,栽培条件良好|温暖な夏季|適度な降水量
ミニトマト,新潟県,下越,27,平野部で栽培に適する|日本海側の安定気候|適度な湿度
ミニトマト,新潟県,佐渡,37,海洋性で栽培可能|島嶼部の特殊気候|強風の影響
ミニトマト,富山県,東部,29,日本海側で栽培良好|適度な湿度|温暖な夏季
ミニトマト,富山県,西部,27,平野部で栽培条件良好|日本海側の安定気候|適度な降水量
ミニトマト,石川県,能登,35,半島部で海洋性|強風の影響|適度な湿度
ミニトマト,石川県,加賀,27,平野部で栽培良好|日本海側の安定気候|適度な降水量
ミニトマト,福井県,嶺北,25,内陸性で栽培に適する|適度な寒暖差|温暖な夏季
ミニトマト,福井県,嶺南,29,海洋性で栽培良好|若狭湾の海洋性調節|適度な湿度
ミニトマト,山梨県,東部・富士五湖,35,高原気候で適度な気温|適度な寒暖差|清涼な夏季
ミニトマト,山梨県,中・西部,32,盆地で栽培良好|内陸性の安定気候|適度な降水量
ミニトマト,長野県,北部,29,高原気候で栽培に適する|適度な寒暖差|清涼な夏季
ミニトマト,長野県,中部,27,高原気候で栽培良好|温暖な夏季|適度な湿度
ミニトマト,長野県,南部,32,内陸性で栽培良好|山間部の適度な気温|適度な降水量
ミニトマト,岐阜県,飛騨地方,37,山間部で適度な気温|適度な寒暖差|清涼な夏季
ミニトマト,岐阜県,美濃地方,42,内陸性で夏季高温|盆地の高温|高温による生育障害
ミニトマト,静岡県,伊豆,39,温暖で栽培良好|伊豆半島の海洋性気候|適度な降水量
ミニトマト,静岡県,東部,35,富士山麓で適度な気温|適度な寒暖差|清涼な夏季
ミニトマト,静岡県,中部,37,温暖な太平洋側気候|適度な日照|海洋性の調節
ミニトマト,静岡県,西部,42,温暖で夏季やや暑い|太平洋側の温暖気候|高温による生育障害
ミニトマト,愛知県,東部,45,内陸性で夏季高温|山間部と平野部の気候差|高温による生育障害
ミニトマト,愛知県,西部,42,都市部で夏季高温|濃尾平野の温暖気候|都市化の影響
ミニトマト,三重県,北中部,39,温暖な太平洋側気候|適度な日照|海洋性の調節
ミニトマト,三重県,南部,37,温暖で栽培良好|紀伊半島の海洋性気候|適度な降水量
ミニトマト,滋賀県,北部,35,内陸性で栽培良好|琵琶湖の調節効果|適度な湿度
ミニトマト,滋賀県,南部,37,都市部だが栽培可能|琵琶湖の調節効果|適度な降水量
ミニトマト,京都府,北部,32,日本海側で栽培良好|適度な湿度|温暖な夏季
ミニトマト,京都府,南部,45,都市部で夏季高温|盆地の高温|ヒートアイランド現象
ミニトマト,大阪府,大阪府,49,都市部で夏季高温|ヒートアイランド現象|大気汚染の影響
ミニトマト,兵庫県,北部,29,日本海側で栽培良好|適度な湿度|温暖な夏季
ミニトマト,兵庫県,南部,39,都市部だが栽培可能|瀬戸内海の調節効果|適度な降水量
ミニトマト,奈良県,北部,37,内陸性で栽培良好|奈良盆地の安定気候|適度な降水量
ミニトマト,奈良県,南部,35,山間部で適度な気温|適度な寒暖差|清涼な夏季
ミニトマト,和歌山県,北部,42,温暖な太平洋側気候|適度な日照|海洋性の調節
ミニトマト,和歌山県,南部,47,温暖で夏季高温|紀伊半島の高温|強い日射
ミニトマト,鳥取県,東部,32,日本海側で栽培良好|適度な湿度|温暖な夏季
ミニトマト,鳥取県,中・西部,35,海洋性で栽培良好|日本海の調節効果|適度な降水量
ミニトマト,島根県,東部,29,日本海側で栽培良好|適度な湿度|温暖な夏季
ミニトマト,島根県,西部,32,内陸性で栽培良好|中国山地の適度な気温|適度な降水量
ミニトマト,島根県,隠岐,39,海洋性だが風が強い|島嶼部の特殊気候|強風の影響
ミニトマト,岡山県,北部,32,内陸性で栽培良好|中国山地の適度な気温|適度な降水量
