都道府県,区分,露地栽培難度,理由
北海道,宗谷地方,60,+栽培期間が短い|+低温による生育不良のリスク|+寒冷地特有の病害リスク
北海道,上川・留萌地方,60,+栽培期間が短い|+低温による生育不良のリスク|+寒冷地特有の病害リスク
北海道,網走・北見・紋別地方,60,+栽培期間が短い|+低温による生育不良のリスク|+寒冷地特有の病害リスク
北海道,釧路・根室・十勝地方,55,+栽培期間が短い|+低温による生育不良のリスク|-夏場の冷涼な気候が栽培に適する
北海道,胆振・日高地方,50,+栽培期間が短い|-夏場の冷涼な気候が栽培に適する|+低温による生育不良のリスク
北海道,石狩・空知・後志地方,50,+栽培期間が短い|-夏場の冷涼な気候が栽培に適する|+低温による生育不良のリスク
北海道,渡島・檜山地方,45,+栽培期間が短い|-夏場の冷涼な気候が栽培に適する|+低温による生育不良のリスク
青森県,津軽,45,+低温による生育不良のリスク|-比較的冷涼な気候|+病害虫のリスク
青森県,下北,45,+低温による生育不良のリスク|-比較的冷涼な気候|+病害虫のリスク
青森県,三八上北,40,+低温による生育不良のリスク|-比較的冷涼な気候|+病害虫のリスク
岩手県,内陸,40,+低温による生育不良のリスク|-比較的冷涼な気候|+病害虫のリスク
岩手県,沿岸北部,40,+低温による生育不良のリスク|-比較的冷涼な気候|+病害虫のリスク
岩手県,沿岸南部,35,+低温による生育不良のリスク|-比較的冷涼な気候|+病害虫のリスク
宮城県,東部,35,+病害虫のリスク|+台風の影響|-比較的栽培期間を確保しやすい
宮城県,西部,35,+病害虫のリスク|+台風の影響|-比較的栽培期間を確保しやすい
秋田県,沿岸,35,+病害虫のリスク|+台風の影響|-比較的栽培期間を確保しやすい
秋田県,内陸,35,+病害虫のリスク|+台風の影響|-比較的栽培期間を確保しやすい
山形県,村山,35,+病害虫のリスク|+台風の影響|-比較的栽培期間を確保しやすい
山形県,置賜,35,+病害虫のリスク|+台風の影響|-比較的栽培期間を確保しやすい
山形県,庄内,40,+高温多湿のリスク|+病害虫のリスク|+台風の影響
山形県,最上,35,+病害虫のリスク|+台風の影響|-比較的栽培期間を確保しやすい
福島県,中通り,35,+病害虫のリスク|+台風の影響|-比較的栽培期間を確保しやすい
福島県,浜通り,40,+高温多湿のリスク|+病害虫のリスク|+台風の影響
福島県,会津,35,+病害虫のリスク|+台風の影響|-比較的栽培期間を確保しやすい
茨城県,北部,40,+高温多湿による病害虫のリスク|+台風の影響|+結球不良のリスク
茨城県,南部,40,+高温多湿による病害虫のリスク|+台風の影響|+結球不良のリスク
栃木県,北部,35,+病害虫のリスク|+台風の影響|-比較的栽培期間を確保しやすい
栃木県,南部,40,+高温多湿による病害虫のリスク|+台風の影響|+結球不良のリスク
群馬県,北部,35,+病害虫のリスク|+台風の影響|-比較的栽培期間を確保しやすい
群馬県,南部,40,+高温多湿による病害虫のリスク|+台風の影響|+結球不良のリスク
埼玉県,南部,45,+高温多湿による病害虫のリスク|+結球不良のリスク|+台風の影響
埼玉県,北部,45,+高温多湿による病害虫のリスク|+結球不良のリスク|+台風の影響
埼玉県,秩父地方,40,+高温多湿による病害虫のリスク|+結球不良のリスク|+台風の影響
千葉県,北東部,45,+高温多湿による病害虫のリスク|+台風の影響|+結球不良のリスク
千葉県,北西部,45,+高温多湿による病害虫のリスク|+台風の影響|+結球不良のリスク
千葉県,南部,50,+高温多湿による病害虫のリスク|+台風の影響|+結球不良のリスク
東京都,東京地方,50,+高温多湿による病害虫のリスク|+結球不良のリスク|+都市部特有の環境
東京都,伊豆諸島北部,60,+高温多湿による病害虫のリスク|+台風の影響が非常に大きい|+潮風害のリスク
