都道府県,区分,露地栽培難度,理由
北海道,宗谷地方,95,+生育期間が極端に短く、成熟前に霜が降りるリスクが非常に高い|+夏でも気温が上がりにくく、生育不良になりやすい
北海道,上川・留萌地方,60,+生育期間が短く、低温による生育遅延のリスクがある|-内陸性気候で昼夜の寒暖差が大きく、食味が向上しやすい|+日本海側(留萌)は風が強い
北海道,網走・北見・紋別地方,70,+オホーツク海気候の影響で冷涼であり、生育期間が短い|+冷害(やませ)のリスクがある|-内陸部(北見)は比較的温暖で栽培されている
北海道,釧路・根室・十勝地方,65,+釧路・根室は海霧の影響で低温・日照不足になりがち|+十勝は栽培が盛んだが、遅霜のリスクがある|-十勝は昼夜の寒暖差が大きく食味は良い
北海道,胆振・日高地方,55,+比較的温暖だが、やませの影響を受けることがある|+台風の際、フェーン現象で高温障害のリスク|-北海道の中では気候が安定している
北海道,石狩・空知・後志地方,45,-夏は高温になり生育が安定しやすい|-主要産地であり、栽培技術が確立されている|+ヒグマによる食害のリスクがある
北海道,渡島・檜山地方,50,-北海道の中では最も温暖で、生育期間を確保しやすい|+日本海側は風が強く、倒伏リスクがある|+台風の影響を比較的受けやすい
青森県,津軽,55,+生育期間がやや短く、品種選定が重要|+梅雨末期や秋の長雨による病害リスク|-昼夜の寒暖差があり、食味は向上しやすい
青森県,下北,75,+やませの影響が非常に強く、冷害のリスクが高い|+生育期間が短く、低温で成熟不良になりやすい
青森県,三八上北,70,+やませの影響を強く受け、冷害による生育不良リスクが高い|+太平洋側のため、夏でも気温が上がりにくいことがある
岩手県,内陸,50,+冷涼な気候で、生育期間がやや短い|+標高が高い地域では遅霜・早霜のリスク|-昼夜の寒暖差が大きく、高品質なものが育ちやすい
岩手県,沿岸北部,75,+やませの影響を強く受け、冷害リスクが非常に高い|+夏でも日照不足や低温になりがち
岩手県,沿岸南部,65,+やませの影響を受け、日照不足や低温のリスクがある|+台風の北上に伴う強風や大雨のリスク
宮城県,東部,60,+やませの影響で日照不足になることがある|+台風の接近時に被害を受けやすい平野部|-温暖で栽培期間は確保しやすい
宮城県,西部,55,+山間部のため生育期間がやや短い|+昼夜の寒暖差は大きいが、冷害のリスクもある|-台風の直接的な影響は東部より少ない
秋田県,沿岸,55,+沿岸部は風が強く、倒伏のリスクがある|+梅雨時期の多湿で病害リスク|-夏は高温になりやすく生育は安定
秋田県,内陸,50,+夏は高温になるが、山間部では生育期間が短い|+豪雪地帯だが夏はフェーン現象で高温障害のリスク|-昼夜の寒暖差が大きく食味が良い
山形県,村山,45,+盆地のため夏は高温になるが、高温障害のリスクもある|-昼夜の寒暖差が大きく食味が良い|-台風の影響は比較的少ない
山形県,置賜,45,+村山と同様、盆地気候で昼夜の寒暖差が大きい|-栽培に適した気候|-山間部は生育期間が短い
山形県,庄内,50,+平野部は日本海からの強風で倒伏リスクが高い|+夏は高温多湿になりやすい|-栽培期間は確保しやすい
山形県,最上,60,+山間部で冷涼なため、生育期間が短い|+遅霜・早霜のリスクがある|-昼夜の寒暖差は大きい
福島県,中通り,50,+盆地気候で夏は高温になるが、干ばつのリスクも|+台風の進路になりやすく、強風被害がある|-昼夜の寒暖差があり食味は良い
福島県,浜通り,60,+台風の接近・上陸が多く、倒伏リスクが高い|+夏の高温多湿による病害リスク|-温暖で栽培期間は確保しやすい
福島県,会津,55,+盆地気候で夏は高温になるが、山間部は冷涼で生育期間が短い|+遅霜・早霜のリスク|-昼夜の寒暖差が非常に大きく、食味は大変良い
茨城県,北部,50,+台風の接近が多く、倒伏リスクがある|+夏の夕立（雷）による被害リスク|-栽培期間が長く、栽培しやすい
茨城県,南部,50,+北部と同様に台風リスクがある|+都市近郊でヒートアイランドによる夜間高温のリスク|-温暖で栽培期間が長く、栽培しやすい
栃木県,北部,60,+山地が多く、冷涼なため生育期間が短い|+夏の雷雨が激しく、被害のリスクがある|-高原地帯は昼夜の寒暖差が大きい
栃木県,南部,45,+夏は非常に高温になり、高温障害や干ばつのリスク|+台風の接近による倒伏リスク|-栽培期間が長く、安定して栽培できる
群馬県,北部,65,+標高が高く冷涼なため、生育期間が短い|+夏の雷雨が激しく、倒伏や実の損傷リスクがある|-高原野菜として品質の高いものが育つ
群馬県,南部,45,+夏は日本有数の高温になり、高温障害や水ストレスのリスク|+台風や夏の雷雨による倒伏リスク|-栽培期間が長く、露地栽培が盛ん
埼玉県,南部,50,+ヒートアイランド現象で夜温が下がらず、食味が落ちやすい|+台風やゲリラ豪雨による倒伏・冠水リスク|-栽培期間は十分に確保できる
埼玉県,北部,45,+夏は高温になり、水管理が重要|+台風や雷雨による倒伏リスク|-栽培期間が長く、栽培しやすい
埼玉県,秩父地方,60,+山間地のため、生育期間が短い|+イノシシやシカなど獣害のリスクが高い|-昼夜の寒暖差は大きい
