作物名,露地栽培難度,理由
小松菜,20,+成長が早く収穫までが短い|+病害虫に比較的強い|-連作障害が出にくい
ほうれん草,30,+発芽率がやや低い|+ベと病など病害が多い|+土壌酸度を嫌う
レタス,45,+結球させにくい|+病害虫の被害を受けやすい|+高温に弱い
サニーレタス,35,+レタスより結球の心配がない|+病害虫の被害を受けやすい|+高温に弱い
サラダ菜,30,+レタスより結球の心配がない|-病害虫に比較的強い|+高温に弱い
水菜,25,+成長が早く収穫までが短い|-病害虫に比較的強い|-連作障害が出にくい
白菜,60,+結球させにくい|+病害虫の被害を受けやすい|+栽培期間が長い
キャベツ,55,+結球させにくい|+アオムシなどの被害を受けやすい|+栽培期間が長い
ブロッコリー,65,+頂花蕾以外の側花蕾も収穫する場合手間がかかる|+アオムシなどの被害を受けやすい|+連作障害が出やすい
カリフラワー,70,+花蕾を白く保つ手間（軟白処理）がかかる|+病害虫の被害を受けやすい|+栽培期間が長い
チンゲン菜,20,+成長が早く収穫までが短い|-病害虫に比較的強い|-連作障害が出にくい
春菊,25,+比較的丈夫で育てやすい|-病害虫に比較的強い|-連作障害が出にくい
ルッコラ,30,+アブラムシの被害を受けやすい|+高温に弱い|+連作障害が出やすい
クレソン,40,+水管理が重要|+アブラムシの被害を受けやすい|+高温に弱い
からし菜,30,+アブラムシの被害を受けやすい|+高温に弱い|+連作障害が出やすい
モロヘイヤ,20,+高温に強く育てやすい|-病害虫の被害が少ない|-連作障害が出にくい
つるむらさき,25,+高温に強く育てやすい|-病害虫の被害が少ない|-連作障害が出にくい
空心菜,30,+高温に強く育てやすい|-病害虫の被害が少ない|-連作障害が出にくい
芽キャベツ,75,+栽培期間が非常に長い|+病害虫の被害を受けやすい|+芽の付き方にばらつきが出やすい
コールラビ,60,+栽培期間が長い|+病害虫の被害を受けやすい|+肥大させにくい
大根,35,+生育が早く育てやすい|+アブラムシやダイコンサルハムシの被害を受けやすい|+土壌が固いと又根になりやすい
二十日大根,20,+生育が非常に早く育てやすい|-病害虫の被害が少ない|-土壌を選ばない
人参,40,+発芽率が低い|+土壌が固いと又根になりやすい|+セリ科の病害虫が発生しやすい
かぶ,30,+生育が早く育てやすい|+アブラムシやダイコンサルハムシの被害を受けやすい|+連作障害が出やすい
ごぼう,50,+土壌が深くまで耕せる必要あり|+発芽率が低い|+連作障害が出やすい
じゃがいも,40,+連作障害が出やすい|+そうか病などの土壌病害が出やすい|+疫病などの病害が発生しやすい
さつまいも,25,+比較的育てやすい|-病害虫の被害が少ない|-連作障害に強い
里芋,35,+乾燥に弱い|+連作障害が出やすい|+病害虫の被害を受けやすい
長芋,60,+深くまで土壌を耕す必要あり|+連作障害が出やすい|+病害虫の被害を受けやすい
ビーツ,45,+発芽率が低い|+連作障害が出やすい|+病害虫の被害を受けやすい
蓮根,80,+深い水田環境が必要|+栽培期間が非常に長い|+収穫作業が重労働
トマト,65,+病害虫の被害を受けやすい|+連作障害が出やすい|+水管理が重要
ミニトマト,60,+病害虫の被害を受けやすい|+連作障害が出やすい|+水管理が重要
中玉トマト,65,+病害虫の被害を受けやすい|+連作障害が出やすい|+水管理が重要
ピーマン,55,+連作障害が出やすい|+病害虫の被害を受けやすい|+高温を好む
パプリカ,60,+ピーマンよりデリケート|+連作障害が出やすい|+病害虫の被害を受けやすい
ししとう,50,+比較的育てやすい|-病害虫の被害が少ない|+連作障害が出やすい
万願寺とうがらし,55,+比較的育てやすい|-病害虫の被害が少ない|+連作障害が出やすい
とうがらし,50,+比較的育てやすい|-病害虫の被害が少ない|+連作障害が出やすい
ナス,60,+連作障害が出やすい|+病害虫の被害を受けやすい|+高温を好む
白ナス,65,+ナスよりデリケート|+連作障害が出やすい|+病害虫の被害を受けやすい
水ナス,65,+ナスよりデリケート|+連作障害が出やすい|+病害虫の被害を受けやすい
長ナス,60,+連作障害が出やすい|+病害虫の被害を受けやすい|+高温を好む
きゅうり,55,+つるが伸びて管理が大変|+病害虫の被害を受けやすい|+連作障害が出やすい
ミニきゅうり,50,+つるが伸びて管理が大変|+病害虫の被害を受けやすい|+連作障害が出やすい
ズッキーニ,40,+つるが伸びて管理が大変|-病害虫に比較的強い|-連作障害が出にくい
かぼちゃ,35,+つるが伸びて場所をとる|-病害虫に比較的強い|-連作障害が出にくい
バターナッツ,35,+つるが伸びて場所をとる|-病害虫に比較的強い|-連作障害が出にくい
